Pacto o partido,Sigla,Candidatos,Votos,% Votos,N° Diputados,% Diputados,Año
Concertación de Partidos por la Democracia (A),,116,3 499 713,"51,49 %",69,"57,50 %",1989
Partido Demócrata Cristiano,PDC,45,1 766 347,"25,99 %",38,"31,67 %",1989
Partido por la Democracia,PPD,25,778 501,"11,45 %",16,"13,33 %",1989
Partido Radical,PR,16,268 103,"3,84 %",5,"4,17 %",1989
Partido Humanista,PH,3,52 225,"0,77 %",1,"0,83 %",1989
Los Verdes,LV,2,14 942,"0,22 %",0,"0,00 %",1989
Independientes Lista A,ILA,25,619 595,"9,12 %",9,"7,50 %",1989
Democracia y Progreso (B),,119,2 323 581,"34,18 %",48,"40,00 %",1989
Renovación Nacional,RN,66,1 242 432,"18,28 %",29,"24,17 %",1989
Unión Demócrata Independiente,UDI,30,667 369,"9,82 %",11,"9,17 %",1989
Independientes Lista B,ILB,23,413 780,"6,09 %",8,"6,67 %",1989
Partido del Sur (C),SUR,16,47 387,"0,70 %",0,"0,00 %",1989
Alianza de Centro (D),,62,177 942,"2,62 %",0,"0,00 %",1989
Avanzada Nacional,AN,26,57 574,"0,85 %",0,"0,00 %",1989
Democracia Radical,DR,10,28 575,"0,42 %",0,"0,00 %",1989
Independientes Lista D,ILD,26,91 793,"1,35 %",0,"0,00 %",1989
Liberal-Socialista Chileno (E),,38,206 138,"3,03 %",0,"0,00 %",1989
Partido Liberal,PL,13,47 237,"0,69 %",0,"0,00 %",1989
Partido Socialista Chileno,PSCH,1,10 398,"0,15 %",0,"0,00 %",1989
Independientes Lista E,ILE,24,148 503,"2,18 %",0,"0,00 %",1989
Partido Nacional (F),PN,18,53 819,"0,79 %",0,"0,00 %",1989
Unidad para la Democracia (G),,31,360 601,"5,31 %",2,"1,67 %",1989
Partido Amplio de Izquierda Socialista,PAIS,22,297 897,"4,38 %",2,"1,67 %",1989
Partido Radical Socialista Democrático,PRSD,2,1330,"0,02 %",0,"0,00 %",1989
Independientes Lista G,ILG,7,61 374,"0,90 %",0,"0,00 %",1989
Independientes fuera de pacto,Ind,19,127 941,"1,88 %",1,"0,83 %",1989
Alternativa Democrática de Izquierda (A),,92,430 495,"6,39 %",0,"0,00 %",1993
Partido Comunista,PCCh,69,336 034,"4,99 %",0,"0,00 %",1993
Movimiento de Acción Popular Unitario,MAPU,3,6 644,"0,10 %",0,"0,00 %",1993
Independientes Lista A,ILA,20,87 817,"1,30 %",0,"0,00 %",1993
Unión por el Progreso de Chile (B),,120,2 471 789,"36,68 %",50,"41,67 %",1993
Renovación Nacional,RN,41,1 098 852,"16,31 %",29,"24,17 %",1993
Unión Demócrata Independiente,UDI,29,816 104,"12,11 %",15,"12,50 %",1993
Unión de Centro Centro,UCC,24,216 639,"3,21 %",2,"1,67 %",1993
Partido del Sur,SUR,1,13 422,"0,20 %",0,"0,00 %",1993
Partido Nacional,PN,1,2688,"0,04 %",0,"0,00 %",1993
Independientes Lista B,ILB,24,324 084,"4,81 %",4,"3,33 %",1993
La Nueva Izquierda (C),,48,96 195,"1,43 %",0,"0,00 %",1993
Partido Alianza Humanista Verde,AHV,31,67 733,"1,01 %",0,"0,00 %",1993
Movimiento Ecologista,ECO,1,2215,"0,03 %",0,"0,00 %",1993
Independientes Lista C,ILC,16,26 247,"0,39 %",0,"0,00 %",1993
Concertación de Partidos por la Democracia (D),,120,3 733 276,"55,40 %",70,"58,33 %",1993
Partido Demócrata Cristiano,DC,48,1 827 373,"27,12 %",37,"30,83 %",1993
Partido Socialista de Chile,PS,28,803 716,"11,93 %",15,"12,50 %",1993
Partido por la Democracia,PPD,25,798 206,"11,84 %",15,"12,50 %",1993
Partido Radical,PR,11,200 837,"2,98 %",2,"1,67 %",1993
Partido Socialdemocracia Chilena,SDCH,4,53 377,"0,79 %",0,"0,00 %",1993
Independientes Lista D,ILD,4,49 764,"0,74 %",1,"0,83 %",1993
Independientes fuera de pacto,Ind,4,7104,"0,11 %",0,"0,00 %",1993
Partido Humanista (A),PH ,90,168 597,"2,91 %",0,0%,1997
Unión por Chile (B),,119,2 101 392,"36,26 %",47,"39,17 %",1997
Renovación Nacional,RN,52,971 903,"16,77 %",23,"19,17 %",1997
Unión Demócrata Independiente,UDI,47,837 736,"14,45 %",17,"14,17 %",1997
Partido del Sur,SUR,1,20 813,"0,36 %",1,"0,83 %",1997
Independientes Lista B,ILB,19,270 940,"4,67 %",6,5 %,1997
Concertación de Partidos por la Democracia (C),,120,2 927 692,"50,51 %",69,"57,5 %",1997
Partido Demócrata Cristiano,PDC,55,1 331 745,"22,98 %",38,"31,67 %",1997
Partido por la Democracia,PPD,29,727 293,"12,55 %",16,"13,33 %",1997
Partido Socialista de Chile,PS,26,640 397,"11,05 %",11,"9,17 %",1997
Partido Radical Socialdemócrata,PRSD,8,181 538,"3,13 %",4,"3,33 %",1997
Independientes Lista C,ILC,2,46 719,"0,81 %",0,0 %,1997
La Izquierda (D),,86,434 148,"7,49 %",0,0 %,1997
Partido Comunista de Chile,PCCh,65,398 588,"6,88 %",0,0 %,1997
Nueva Alianza Popular,NAP,8,8971,"0,15 %",0,0 %,1997
Independientes Lista D,ILD,13,26 589,"0,46 %",0,0 %,1997
Chile 2000 (E),,25,123 922,"2,14 %",2,"1,67 %",1997
Unión de Centro Centro Progresista,UCCP,13,68 822,"1,19 %",2,"1,67 %",1997
Independientes Lista E,ILE,12,55 100,"0,95 %",0,0 %,1997
Independientes fuera de pacto,Ind,2,40 022,"0,69 %",2,"1,67 %",1997
Partido Comunista (A),PCCh,80,320 688,"5,22 %",0,"0,00 %",2001
Partido Humanista (C),PH,42,69 692,"1,13 %",0,"0,00 %",2001
Alianza por Chile (C),,119,2 720 195,"44,27 %",57,"47,5 %",2001
Unión Demócrata Independiente,UDI,54,1 547 209,"25,18 %",31,"25,83 %",2001
Renovación Nacional,RN,45,845 865,"13,77 %",18,"15,00 %",2001
Independientes Lista C,ILC,20,327 121,"5,32 %",8,"6,67 %",2001
Partido Liberal (D),PL,4,3475,"0,06 %",0,"0,00 %",2001
Concertación (E),,120,2 942 989,"47,90 %",62,"51,67 %",2001
Partido Demócrata Cristiano,DC,54,1 162 210,"18,92 %",23,"19,17 %",2001
Partido por la Democracia,PPD,24,782 333,"12,73 %",20,"16,67 %",2001
Partido Socialista,PS,21,614 434,"10,00 %",10,"8,33 %",2001
Partido Radical Socialdemócrata,PRSD,14,248 821,"4,05 %",6,"5,00 %",2001
Independientes Lista E,ILE,7,135 191,"2,20 %",3,"2,50 %",2001
Independientes fuera de pacto,Ind,16,86 964,"1,42 %",1,"0,83 %",2001
Fuerza Regional Independiente (A),FRI,23,77 213,"1,17 %",1,"0,83 %",2005
Alianza Nacional de los Independientes,ANI,7,20 191,"0,31 %",0,"0,00 %",2005
Partido de Acción Regionalista,PAR,3,26 698,"0,40 %",1,"0,83 %",2005
Independientes Lista A,ILA,13,30 324,"0,46 %",0,"0,00 %",2005
Concertación Democrática (B),,120,3 417 207,"51,76 %",65,"54,17 %",2005
Partido Demócrata Cristiano,PDC,56,1 370 501,"20,76 %",20,"16,67 %",2005
Partido por la Democracia,PPD,27,1 017 956,"15,42 %",21,"17,50 %",2005
Partido Socialista,PS,21,663 561,"10,05 %",15,"12,50 %",2005
Partido Radical Socialdemócrata,PRSD,9,233 564,"3,54 %",7,"5,83 %",2005
Independientes Lista B,ILB,7,131 625,"1,99 %",2,"1,67 %",2005
Juntos Podemos Más (C),,115,488 618,"7,40 %",0,"0,00 %",2005
Partido Comunista,PCCh,62,339 547,"5,14 %",0,"0,00 %",2005
Partido Humanista,PH,33,102 842,"1,56 %",0,"0,00 %",2005
Independientes Lista C,ILC,20,46 229,"0,70 %",0,"0,00 %",2005
Alianza (D),,120,2 556 386,"38,73 %",54,"45,00 %",2005
Renovación Nacional,RN,50,932 422,"14,12 %",19,"15,83 %",2005
Unión Demócrata Independiente,UDI,59,1 475 901,"22,36 %",33,"27,50 %",2005
Independientes Lista D,ILD,11,148 063,"2,24 %",2,"1,67 %",2005
Independientes fuera de pacto,Ind,8,62 387,"0,95 %",0,"0,00 %",2005
Concertación y Juntos Podemos (A),,,2 934 378,"44,35 %",57,"47,50 %",2009
Partido Demócrata Cristiano,PDC,,940 265,"14,21 %",19,"15,83 %",2009
Partido por la Democracia,PPD,,839 744,"12,69 %",18,"15,00 %",2009
Partido Socialista de Chile,PS,,653 367,"9,88 %",11,"9,17 %",2009
Partido Radical Socialdemócrata,PRSD,,251 456,"3,80 %",5,"4,17 %",2009
Partido Comunista de Chile,PCCh,,133 718,"2,02 %",3,"2,50 %",2009
Independientes Lista A,ILA,,115 828,"1,75 %",1,"0,83 %",2009
Coalición por el Cambio (B),,,2 874 674,"43,45 %",58,"48,33 %",2009
Unión Demócrata Independiente,UDI,,1 525 000,"23,05 %",37,"30,83 %",2009
Renovación Nacional,RN,,1 178 392,"17,81 %",18,"15,00 %",2009
ChilePrimero,CH1,,18 021,"0,27 %",0,"0,00 %",2009
Independientes Lista B,ILB,,153 261,"2,32 %",3,"2,50 %",2009
Nueva Mayoría para Chile (C),,,302 627,"4,57 %",0,"0,00 %",2009
Partido Humanista,PH,,95 177,"1,44 %",0,"0,00 %",2009
Partido Ecologista,PE,,3815,"0,06 %",0,"0,00 %",2009
Independientes Lista C,ILC,,206 635,"3,08 %",0,"0,00 %",2009
Chile Limpio. Vote Feliz (D),,,356 798,"5,39 %",3,"2,50 %",2009
Partido Regionalista de los Independientes,PRI,,264 466,"4,00 %",3,"2,50 %",2009
