Distrito,parlamentario/a,coalición,partido político,Votos obtenidos,% obtenido,año elección
1,Luis Leblanc Valenzuela,Concertación de Partidos por la Democracia,DC,21314,"25,08%",1989
1,Carlos Valcarce Medina,Democracia y Progreso,RN,21497,"25,3%",1989
2,Vladislav Kuzmicic Calderón,Concertación de Partidos por la Democracia,PPD,30007,"39,16%",1989
2,Ramón Pérez Opazo,Democracia y Progreso,Ind-RN,22782,"29,73%",1989
3,Nicanor de la Cruz,Concertación de Partidos por la Democracia,Ind-PPD,24803,"29,16%",1989
3,Carlos Cantero Ojeda,Democracia y Progreso,RN,13901,"16,34%",1989
4,Felipe Valenzuela Herrera,Concertación de Partidos por la Democracia,PPD,40124,"33,54%",1989
4,Rubén Gajardo Chacón,Concertación de Partidos por la Democracia,DC,35630,"29,78%",1989
5,Sergio Pizarro Mackay,Concertación de Partidos por la Democracia,DC,20313,"30,84%",1989
5,Carlos Vilches Guzmán,Democracia y Progreso,RN,11271,"17,11%",1989
6,Armando Arancibia Calderón,Concertación de Partidos por la Democracia,PPD,13143,"30,64%",1989
6,Baldo Prokurica Prokurica,Democracia y Progreso,RN,11644,"27,15%",1989
7,Eugenio Munizaga Rodríguez,Democracia y Progreso,RN,25376,"31,05%",1989
7,Joaquín Palma Irarrázaval,Concertación de Partidos por la Democracia,DC,21256,"26,01%",1989
8,Jorge Pizarro Soto,Concertación de Partidos por la Democracia,DC,35068,"37,1%",1989
8,Jorge Morales Adriasola,Democracia y Progreso,RN,16817,"17,79%",1989
9,Víctor Manuel Rebolledo,Concertación de Partidos por la Democracia,PPD,22057,"34,74%",1989
9,Julio Rojos Astorga,Concertación de Partidos por la Democracia,DC,19753,"31,11%",1989
10,Eduardo Cerda García,Concertación de Partidos por la Democracia,DC,41004,"31,76%",1989
10,Federico Ringeling Hunger,Democracia y Progreso,RN,31379,"24,31%",1989
11,Sergio Jara Catalán,Concertación de Partidos por la Democracia,DC,26934,"26,88%",1989
11,Claudio Rodríguez Cataldo,Democracia y Progreso,RN,20832,"20,79%",1989
12,Jorge Molina Valdivieso,Concertación de Partidos por la Democracia,PPD,42590,"37,79%",1989
12,Arturo Longton Guerrero,Democracia y Progreso,RN,23005,"20,41%",1989
13,Aldo Cornejo González,Concertación de Partidos por la Democracia,DC,55642,"34,45%",1989
13,Francisco Bartolucci Johnston,Democracia y Progreso,UDI,28593,"17,7%",1989
14,Gustavo Cardemil Alfaro,Concertación de Partidos por la Democracia,DC,47252,"28,61%",1989
14,Raúl Urrutia,Democracia y Progreso,RN,30005,"18,17%",1989
15,Sergio Velasco de La Cerda,Concertación de Partidos por la Democracia,DC,25429,"37,38%",1989
