Distrito ,parlamentario/a,coalición ,partido político ,votos obtenidos,% obtenido ,año elección ,región 
1[d],Luis Leblanc Valenzuela,Concertación de Partidos por la Democracia,DC,21 314,"25,08 %",1989,
1[d],Carlos Valcarce Medina,Democracia y Progreso,RN,21 497,"25,30 %",1989,
2[d],Vladislav Kuzmicic Calderón,Concertación de Partidos por la Democracia,PPD,30 007,"39,16 %",1989,
2[d],Ramón Pérez Opazo,Democracia y Progreso,Ind-RN,22 782,"29,73 %",1989,
3[d],Nicanor de la Cruz,Concertación de Partidos por la Democracia,Ind-PPD,24 803,"29,16 %",1989,
3[d],Carlos Cantero Ojeda,Democracia y Progreso,RN,13 901,"16,34 %",1989,
4[d],Felipe Valenzuela Herrera,Concertación de Partidos por la Democracia,PPD,40 124,"33,54 %",1989,
4[d],Rubén Gajardo Chacón,Concertación de Partidos por la Democracia,DC,35 630,"29,78 %",1989,
5[d],Sergio Pizarro Mackay,Concertación de Partidos por la Democracia,DC,20 313,"30,84 %",1989,
5[d],Carlos Vilches Guzmán,Democracia y Progreso,RN,11 271,"17,11 %",1989,
6[d],Armando Arancibia Calderón,Concertación de Partidos por la Democracia,PPD,13 143,"30,64 %",1989,
6[d],Baldo Prokurica Prokurica,Democracia y Progreso,RN,11 644,"27,15 %",1989,
7[d],Eugenio Munizaga Rodríguez,Democracia y Progreso,RN,25 376,"31,05 %",1989,
7[d],Joaquín Palma Irarrázaval,Concertación de Partidos por la Democracia,DC,21 256,"26,01 %",1989,
8[d],Jorge Pizarro Soto,Concertación de Partidos por la Democracia,DC,35 068,"37,10 %",1989,
8[d],Jorge Morales Adriasola,Democracia y Progreso,RN,16 817,"17,79 %",1989,
9[d],Víctor Manuel Rebolledo,Concertación de Partidos por la Democracia,PPD,22 057,"34,74 %",1989,
9[d],Julio Rojos Astorga,Concertación de Partidos por la Democracia,DC,19 753,"31,11 %",1989,
10[d],Eduardo Cerda García,Concertación de Partidos por la Democracia,DC,41 004,"31,76 %",1989,
10[d],Federico Ringeling Hunger,Democracia y Progreso,RN,31 379,"24,31 %",1989,
11[d],Sergio Jara Catalán,Concertación de Partidos por la Democracia,DC,26 934,"26,88 %",1989,
11[d],Claudio Rodríguez Cataldo,Democracia y Progreso,RN,20 832,"20,79 %",1989,
12[d],Jorge Molina Valdivieso,Concertación de Partidos por la Democracia,PPD,42 590,"37,79 %",1989,
12[d],Arturo Longton Guerrero,Democracia y Progreso,RN,23 005,"20,41 %",1989,
13[d],Aldo Cornejo González,Concertación de Partidos por la Democracia,DC,55 642,"34,45 %",1989,
13[d],Francisco Bartolucci Johnston,Democracia y Progreso,UDI,28 593,"17,70 %",1989,
14[d],Gustavo Cardemil Alfaro,Concertación de Partidos por la Democracia,DC,47 252,"28,61 %",1989,
14[d],Raúl Urrutia,Democracia y Progreso,RN,30 005,"18,17 %",1989,
15[d],Sergio Velasco de La Cerda,Concertación de Partidos por la Democracia,DC,25 429,"37,38 %",1989,
15[d],Akin Soto Morales,Concertación de Partidos por la Democracia,PPD,16 252,"23,89 %",1989,
16[d],Adriana Muñoz D'Albora,Concertación de Partidos por la Democracia,PPD,35 448,"30,42 %",1989,
16[d],Patricio Melero Abaroa,Democracia y Progreso,UDI,23 269,"19,97 %",1989,
