Distrito;Candidato;Partido;Pacto;Votos;%;Resultado;Año
1;Luis Leblanc Valenzuela;PDC;Concertación por la Democracia;21314;25,08%;Diputado;1989
1;Carlos Valcarce Medina;RN;Democracia y Progreso;21497;25,29%;Diputado;1989
1;Luis Gutiérrez Torres;PR;Concertación por la Democracia;15564;18,31%;;1989
1;Patricio Durán Gatica;UDI;Democracia y Progreso;5098;6,00%;;1989
1;Vicente Echeverría Guzmán;ILE;Liberal-Socialista Chileno;2584;3,04%;;1989
1;Pablo Pizarro;ILE;Liberal-Socialista Chileno;4974;5,85%;;1989
1;Juan Restelli Rodríguez;PAIS;Unidad para la Democracia;5070;5,96%;;1989
1;Orel Viciani Escker;PAIS;Unidad para la Democracia;7089;8,34%;;1989
1;Patricio Arancibia Beaumont;IND;Independiente;1784;2,09%;;1989
2;Vladislav Kuzmicic Calderon;PPD;Concertación por la Democracia;30007;39,16%;Diputado;1989
2;Ramón Pérez Opazo;ILB;Democracia y Progreso;22782;29,73%;Diputado;1989
2;Hugo Calderón Campusano;ILA;Concertación por la Democracia;10204;13,24%;;1989
2;Marta Beatriz Marcich Moller;RN;Democracia y Progreso;10669;13,92%;;1989
2;Luis Fernando Díaz Salinas;AN;Alianza de Centro;2969;3,87%;;1989
3;Nicanor de la Cruz Araya;ILA;Concertación por la Democracia;24803;29,16%;Diputado;1989
3;Carlos Cantero Ojeda;RN;Democracia y Progreso;13901;16,34%;Diputado;1989
3;Luis Sepúlveda Gutiérrez;PDC;Concertación por la Democracia;21823;25,65%;;1989
3;Luis Pacasse Angulo;RN;Democracia y Progreso;10509;12,35%;;1989
3;Juan Luis Maurás Novella;IND;Independiente;7572;8,90%;;1989
3;Adrianus Franciscus Stupers;ILE;Liberal-Socialista Chileno;5359;6,30%;;1989
3;Juan Latrille Quiroga;AN;Alianza de Centro;1103;1,30%;;1989
4;Rubén Gajardo Chacón;PDC;Concertación por la Democracia;35630;29,78%;Diputado;1989
4;Felipe Ignacio Valenzuela Herrera;PPD;Concertación por la Democracia;40124;33,54%;Diputado;1989
4;Ana Luisa Fernández Fernández;RN;Democracia y Progreso;4663;3,90%;;1989
4;Patricio Enrique Valdivia Guerra;UDI;Democracia y Progreso;32986;27,57%;;1989
4;Andrés Arnoldo Moreno Villafaña;AN;Alianza de Centro;2216;1,85%;;1989
4;Elizabeth Angélica Gripe Ahumada;PL;Liberal-Socialista Chileno;4018;3,36%;;1989
5;Sergio Pizarro Mackay;PDC;Concertación por la Democracia;20313;30,84%;Diputado;1989
5;Carlos Vilches Guzmán;RN;Democracia y Progreso;11271;17,11%;Diputado;1989
5;Eduardo Morales Espinosa;PAIS;Unidad para la Democracia;18355;27,87%;;1989
5;Jorge Sánchez Araya;ILB;Democracia y Progreso;9206;13,98%;;1989
5;Miguel Guerrero Pellegrini;PR;Concertación por la Democracia;2401;3,65%;;1989
5;Alfredo Yáñez Ayala;PL;Liberal-Socialista Chileno;2055;3,12%;;1989
5;John Horsley Brito;DR;Alianza de Centro;1748;2,65%;;1989
5;Luis Antonio Ortiz;AN;Alianza de Centro;522;0,79%;;1989
