Distrito,parlamentario/a,coalición,partido político,Votos obtenidos ,% obtenido,año elección
1,Luis Leblanc Valenzuela,Concertación,Democracia Cristiana ,21314,"25,08%",1989
1,Carlos Valcarce Medina,Alianza,Renovación Nacional,21497,"25,30%",1989
2,Vladislav Kuzmicic Calderón,Concertación,Partido por la Democracia ,30007,"39,16%",1989
2,Ramón Pérez Opazo,Alianza,Renovación Nacional,22782,"29,73%",1989
3,Nicanor de la Cruz,Concertación,Partido por la Democracia ,24803,"29,16%",1989
3,Carlos Cantero Ojeda,Alianza,Renovación Nacional,13901,"16,34%",1989
4,Felipe Valenzuela Herrera,Concertación,Partido por la Democracia ,40124,"33,54%",1989
4,Rubén Gajardo Chacón,Concertación,Democracia Cristiana ,35630,"29,78%",1989
5,Sergio Pizarro Mackay,Concertación,Democracia Cristiana ,20313,"30,84%",1989
5,Carlos Vilches Guzmán,Alianza,Renovación Nacional,11271,"17,11%",1989
6,Armando Arancibia Calderón,Concertación,Partido por la Democracia ,13143,"30,64%",1989
6,Baldo Prokurica Prokurica,Alianza,Renovación Nacional,11644,"27,15%",1989
7,Eugenio Munizaga Rodríguez,Alianza,Renovación Nacional,25376,"31,05%",1989
7,Joaquín Palma Irarrázaval,Concertación,Democracia Cristiana ,21256,"26,01%",1989
8,Jorge Pizarro Soto,Concertación,Democracia Cristiana ,35068,"37,10%",1989
8,Jorge Morales Adriasola,Alianza,Renovación Nacional,16817,"17,79%",1989
9,Víctor Manuel Rebolledo,Concertación,Partido por la Democracia ,22057,"34,74%",1989
9,Julio Rojos Astorga,Concertación,Democracia Cristiana ,19753,"31,11%",1989
10,Eduardo Cerda García,Concertación,Democracia Cristiana ,41004,"31,76%",1989
10,Federico Ringeling Hunger,Alianza,Renovación Nacional,31379,"24,31%",1989
11,Sergio Jara Catalán,Concertación,Democracia Cristiana ,26934,"26,88%",1989
11,Claudio Rodríguez Cataldo,Alianza,Renovación Nacional,20832,"20,79%",1989
12,Jorge Molina Valdivieso,Concertación,Partido por la Democracia ,42590,"37,79%",1989
12,Arturo Longton Guerrero,Alianza,Renovación Nacional,23005,"20,41%",1989
13,Aldo Cornejo González,Concertación,Democracia Cristiana ,55642,"34,45%",1989
13,Francisco Bartolucci Johnston,Alianza,Unión Demócrata Independiente,28593,"17,70%",1989
14,Gustavo Cardemil Alfaro,Concertación,Democracia Cristiana ,47252,"28,61%",1989
14,Raúl Urrutia,Alianza,Renovación Nacional,30005,"18,17%",1989
15,Sergio Velasco de La Cerda,Concertación,Democracia Cristiana ,25429,"37,38%",1989
15,Akin Soto Morales,Concertación,Partido por la Democracia ,16252,"23,89%",1989
